startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,LA MODA DESDE EL AÑO 0,"Desde los neandertales que vivían en las cuevas, hasta la moda de hoy en día, ha habido un gran recorrido histórico. Aquellos neandertales que tan lejos nos quedan, se vestían para sobrevivir. Nosotros, hoy en día, nos vestimos para lucirnos, expresarnos y mostrar nuestras opiniones a través de los atuendos. 
 
Para poder comprender cómo llegamos a las grandes marcas como Inditex, Coco Chanel o Gucci, se han necesitado siglos de evolución que respondian a una necesidad concreta. A lo largo de esta cronología, podrás descubrir de dónde vino la moda y a donde llegará. La moda desde el año 0. 
",,,,,title,,https://mymodernmet.com/wp/wp-content/uploads/2017/07/womens-fashion-history.jpg,lightblue
0,,,,0,,,,,<b>Antes del año 0</b>,"En la era Paleolítica, la Neolítica y en la Edad de Hierro, todas las ropas estaban hechas de pieles de animales, que se fueron convirtiendo en prendas más ligeras respondiendo al cambio climático que se sufrieron en aquellos siglos. Aunque en ningún momento respondieran a una necesidad estética, poco a poco fueron apareciendo complementos que sí expresaban estilismo. ",https://www.youtube.com/embed/gr6KvriTZKQ,De Arte,Más sobre el Paleolítico,,,, https://www.formacionimpulsat.com/wp-content/uploads/2021/02/Ropa-de-la-prehistoria-680x350-1-1.jpg ,lightblue
0,,,,476,,,,,<b>Fin de la Edad Antigua</b>,"<p>El imperio romano tuvo mucha influencia en los primeros siglos hasta su caída, en el 476. En esta era, los adornos, los materiales y la manera de vestir cobraron mucha importancia. La respuesta del porqué es sencilla: la distinción entre clases, símbolo social. Materiales como lana, lino, seda y algodón obtuvieron gran importancia para la creación de las togas que, en aquella época, era la vestimenta más común. Las mujeres comenzaron a darle importancia al cabello, a las joyas, zapatos… </p> <p>Roma, Grecia y Egipto, son las más destacadas de aquella época. Dado el conocimiento historico que tenemos de estras tres naciones, podemos decir que en la primera era donde se usaban los colores mas vividos: rojos, naranjas, amarillo… En Egipto, por otra parte, a causa del politeísmo se alababa mucho a los dioses. Para ello, usaban colores como el dorado, gemas y metales preciosos para sus vestimentas. Finalmente, en lo que a Grecia se refiere, podemos observar más simplicidad en los atuendos. Aun así, nunca dejaban de destacar las togas como base principal. Dada la influencia del Imperio Romano en toda Europa, allí se forjaron las bases de lo que hoy conocemos como moda. </p>",https://conocedeculturas.com/wp-content/uploads/2020/08/VESTIMENTA-DE-EGIPTO.jpg,,,,,,http://lh3.googleusercontent.com/-6GewA4WcBhY/U9vBDdA2XjI/AAAAAAAACZw/Dh8daDqP-34/s640/blogger-image--159847481.jpg,lightblue
476,,,,1400,,,,,<b>Edad Media</b>,"<p>Con la caída del imperio romano, el cristianismo coge mucha fuerza e influye duramente en la moda de esta época histórica. </p>  <p>Para comprender la moda de la Edad Media, tenemos que comprender la diferenciación social que había. Existían los burgueses y la realeza, que usaban materiales como el lino, la seda, el algodón… Estas prendas eran más vistosas y elegantes. Por otra parte, los campesinos esquilaban sus ovejas para conseguir lana, la cual usaban para sus ropas. El clero, a diferencia de estas dos clases sociales, también usaba materiales de origen animal, pero su indumentaria se basaba en túnicas largas. </p>
",https://www.youtube.com/embed/DjdFLJT5lhY,Academia Play,"Si te interesa la época de la Edad Media, te invitamos a este video interactivo. ",,,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F633178028830625006%2F&psig=AOvVaw2fKvonf2g947ZBGb_tgAzz&ust=1639512987497000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOi-i_7L4fQCFQAAAAAdAAAAABAD ,lightyellow
476,,,,1492,,,,,<b>Calzas</b>,"Desde el siglo VII se conocieron como calzas en plural, las prendas de vestir que cubrían la parte inferior del cuerpo. Aunque en su origen fueron prendas masculinas, evolucionaron en diversos tipos de pantalón o calzón largo para ambos sexos. Desarrollaron una variada tipología: desde las calzas/bragas hasta la rodilla, o las medias/calzas, desde la rodilla hasta el pie, hasta modelos de fantasía como las calzas botargas (anchas y largas), las calzas atacadas,​ o los gregüescos, prototipo de las calzas estofadas. ",  https://historiadeltraje.files.wordpress.com/2019/04/clase_baja_edad_media_2019_fadu.010.jpeg?w=676 ,,,"A las calzas se les podría denominar como a los pantalones de hoy en día, pero hechos con materiales más rudimentarios. ",,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F633178028830625006%2F&psig=AOvVaw2fKvonf2g947ZBGb_tgAzz&ust=1639512987497000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOi-i_7L4fQCFQAAAAAdAAAAABAD ,lightyellow
476,,,,1492,,,,,<b>Ropa de abrigo</b>,"Para abrigo y vestidura exterior, se llevaban en la Edad Media diferentes mantos y capas, además de los sobretodos antes nombrados. La principal materia prima de dicho abrigo era la lana. En los primeros siglos, se usó la capa romana abrochada con fíbula por delante o sobre el hombro derecho y también la guasapa o capa con capuchón. Siguió después el albornoz (de imitación arábiga) que era otra capa cerrada hacia el pecho pero abierta y de gran vuelo por abajo y en los últimos siglos de la época se acortaron la capa y los sobretodos que antes llegaban hasta los talones. ",http://4.bp.blogspot.com/-p0WuyF_TEBU/Vad5N4lT57I/AAAAAAAAAZs/B82g7GlU-R0/s1600/garnacha2.jpg,,,,,,,lightyellow
476,,,,1492,,,,,<b>Calzado</b>,"Para calzado servían según la clase social del sujeto, las antiguas sandalias, los zuecos, los borceguíes y los zapatos muy puntiagudos e incluso las mismas calzas, que a menudo llevaban adheridas al pie unas suelas puntiagudas y largas. Las señoras elegantes calzaban en los siglos XIV y XV altos chapines, especie de chanclos con corcho muy grueso sobre la suela, costumbre que se extendió hasta el siglo XVII. ",https://recreacionhistoria.com/wp-content/uploads/2021/03/Calzado-Edad-Media.jpg,,,,,,,lightyellow
1492,,,,1573,,,,,<b>El Renacimiento</b>,"Durante esta época empìeza a surgir lo que hoy en día conocemos como moda. La ropa ya no era solo para identificar a las personas y su nivel socioeconómico, sino que se convirtió en un pasatiempos. Los sastres comenzaron a diseñar trajes más complicados y destacados y los hombres comenzaron a lucir más las prendas. <p> En el Renacimiento se introdujeron nuevos géneros y la costura adquirió un alto grado de profesionalización. En la Italia renacentista aparecieron los trajes más ricos y espectaculares de la Historia, de vivos colores y formas imaginativas y originales, que otorgaban gran relevancia a las mangas, a los pliegues y a las caídas de tela de forma vertical, con finos bordados y rica pasamanería. </p>",https://www.youtube.com/embed/CMbfa8i3Eho,Academia Play,Aquí tienes más información sobre el Renacimiento,,,,,lightred
1495,,,,1573,,,,,<b>El humanismo</b>,"El humanismo comportó un nuevo ideal del ser humano y la naturaleza, que se reflejó en una nueva forma de vestir, con trajes más acotados al cuerpo, más cómodos y manejables. Las mujeres dejaron de llevar vestidos largos, que se sustituyeron por dos piezas, falda y corpiño, que eran independientes una de otra en cuanto a material y color. Los adornos, ya fueran para el pelo u otros complementos, tomaron gran relevancia. Los abanícos, las joyas y los tocados eran muy llamativos. ",https://arc-anglerfish-eu-central-1-prod-prisa.s3.amazonaws.com/public/GXGVUJCCPPHPE4SPWYKISZCPQU.jpg,,Los reyes y reinas de los diferentes países y naciones marcaban las tendencias durante esta época. ,,,,https://w7.pngwing.com/pngs/418/286/png-transparent-italian-renaissance-clothing-1500-1550-in-western-european-fashion-dress-pin-fashion-fashion-illustration.png,lightred
1573,,,,1789,,,,,<b>Edad Moderna</b>,"Durante la edad Moderna fue Francia quien marcó los cánones de belleza y los estilos en la ropa. La corte de Versalles marcaba todas las tendencias. Los sastres gozaban de gran prestigio y “lo último en moda” se esparcía por todo el continente Europeo con gran velocidad.<p> Se celebraban grandes fiestas en las que se lucían trajes fastuosos y muy vistosos, llenos de colores, joyas y matertiales como el lino. </p> <p>Mientras que en Francia se lucían ropas coloridad y despampanates, en Inglaterra surgió un estilo más austero y con colores más oscuros. Si algo destaca en la Edad Moderna, sin importar el país, eran los collarines que se llevaban, también conocidos como lechugillas y las mangas anchas. </p>",https://lclcarmen3.files.wordpress.com/2015/04/indumentaria_siglo_xvii00011.jpg,,,,,,,lightred
